split,model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,roc_auc_ovr
val,logreg,0.6638225255972696,0.6364426770910562,0.6549494265443301,0.6257078986587183,0.6638225255972696,0.6283676984241956,0.6569666197903216,0.692337307501242
val,linear_svm,0.6672354948805461,0.6539182970184737,0.6587790742381301,0.5876428216592151,0.6672354948805461,0.574994328050672,0.6243247689193959,0.6821659215101838
test,logreg,0.6621160409556314,0.6345698924731182,0.6533630591948328,0.624341778440139,0.6621160409556314,0.6269148156246382,0.6554669206153327,0.6923621460506706
test,linear_svm,0.6791808873720137,0.6755535374502681,0.67688417335121,0.6008320914058619,0.6791808873720137,0.5910798331180497,0.6383693695926038,0.6781669150521609
