split,model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,roc_auc_ovr
val,logreg,0.6621160409556314,0.6341801762593842,0.6525524116001594,0.622528564331843,0.6621160409556314,0.6251599147121536,0.6544837974923045,0.6879284649776453
val,linear_svm,0.6621160409556314,0.6421880227500836,0.6496482552065195,0.5844510680576254,0.6621160409556314,0.5727541867350094,0.6214363908999752,0.6788623944361649
test,logreg,0.6552901023890785,0.6259852216748769,0.6449166932867062,0.614344262295082,0.6552901023890785,0.6166709844559586,0.6469849157367947,0.6920640834575259
test,linear_svm,0.6723549488054608,0.6654793906810036,0.6679518820262518,0.5917411823149528,0.6723549488054608,0.5789536711324003,0.6283615933797438,0.6784898161947343
