split,model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,roc_auc_ovr
val,logreg,0.6723549488054608,0.6458042161658515,0.6605996625986108,0.6243790362642822,0.6723549488054608,0.6271721121346676,0.6595088481833726,0.6992051664182811
val,linear_svm,0.6655290102389079,0.6432338758288125,0.652225836115757,0.5944361649279681,0.6655290102389079,0.5881526104417671,0.6326288087503599,0.6944485842026825
test,logreg,0.7030716723549488,0.687291743798593,0.695236121623517,0.6507824143070045,0.7030716723549488,0.6553780012978585,0.687319634207653,0.7103576751117735
test,linear_svm,0.6945392491467577,0.697876901092171,0.6966078980087587,0.6203800298062594,0.6945392491467577,0.6160134128439695,0.6592767037881472,0.7057625434674615
