split,model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,roc_auc_ovr
val,logreg,0.6706484641638225,0.644272265139066,0.6576435327002272,0.6166666666666667,0.6706484641638225,0.6183080386221048,0.653523255806855,0.7022478887232986
val,linear_svm,0.658703071672355,0.6347634094960298,0.6439131233121121,0.582625434674615,0.658703071672355,0.5717939349652904,0.6198573211745003,0.7007824143070044
test,logreg,0.7013651877133106,0.6847710902584737,0.6931833757737729,0.6494162940884252,0.7013651877133106,0.6539062526366235,0.6858371490476664,0.6991430700447094
test,linear_svm,0.6945392491467577,0.707081807081807,0.702549100501319,0.6158469945355192,0.6945392491467577,0.6082697528858614,0.6540710127189191,0.6929210134128166
