split,model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,roc_auc_ovr
val,logreg,0.6860068259385665,0.6635062611806798,0.6754956132049551,0.6362146050670641,0.6860068259385665,0.639741259488934,0.671906843782488,0.7072839046199701
val,linear_svm,0.658703071672355,0.6353909465020576,0.6442084860742427,0.581718827620467,0.658703071672355,0.5701291079812207,0.6187448925635727,0.7043653750620964
test,logreg,0.6928327645051194,0.6737319511292114,0.6833482226908754,0.639865871833085,0.6928327645051194,0.643494484101233,0.6765375526286066,0.6982799304520616
test,linear_svm,0.6825938566552902,0.6888372093023256,0.6866354472577189,0.6008445106805762,0.6825938566552902,0.5886881311416021,0.6376532594451679,0.6961810730253353
