split,model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,roc_auc_ovr
val,logreg,0.6621160409556314,0.6347829573398909,0.6537859583298818,0.6252483854942872,0.6621160409556314,0.6277717893440098,0.6559417934748905,0.6850223546944858
val,linear_svm,0.658703071672355,0.6375410828576371,0.6453040234781116,0.5789990064580228,0.658703071672355,0.5649785458702656,0.6152865633963871,0.6764406358668654
test,logreg,0.6552901023890785,0.6272195640616693,0.6471142174393477,0.6188772975658221,0.6552901023890785,0.6211126048268356,0.6494643925773326,0.6897416790859414
test,linear_svm,0.6808873720136519,0.6765648388252904,0.6781747619005475,0.6040114257327373,0.6808873720136519,0.5956905934657886,0.6419312242018036,0.6755588673621462
